Age [ka],d18O GRIP,T GRIP,d18O GoM,Pa/Th
2.2,-34.85970588235294,-31.31711196323528,,
2.25,-35.05666666666667,-31.591423416666643,,
2.3,-35.056363636363635,-31.636944666666647,,
2.35,-34.882727272727266,-31.37892324999999,,
2.4,-34.88999999999999,-31.35352358333332,,
2.45,-34.67636363636363,-31.016372166666653,,
2.5,-34.68272727272726,-31.05645008333332,,
2.55,-34.8396875,-31.288895664062487,,
2.6,-34.863939393939404,-31.284617249999993,,
2.65,-34.93970588235294,-31.421726330882347,,
2.7,-35.04545454545455,-31.590720999999988,,
2.75,-34.95,-31.430560453124983,,
2.8,-34.915000000000006,-31.37526603124998,,
2.85,-35.016969696969696,-31.520389833333315,,0.055
2.9,-34.81090909090909,-31.19265533333332,,0.055
2.95,-34.872258064516124,-31.2892402096774,,
3.0,-35.008064516129025,-31.538878911290304,,
3.05,-34.94225806451613,-31.437239798387075,,
3.1,-34.956999999999994,-31.424251024999975,,
3.15,-35.00258064516129,-31.4869047096774,,
3.2,-34.87935483870969,-31.30208838709676,,0.058
3.25,-34.53258064516128,-30.782049459677406,,0.051000000000000004
3.3,-34.43483870967742,-30.64238379032256,,0.044
3.35,-34.74400000000001,-31.10027214999998,,
3.4,-35.03066666666667,-31.541960466666662,,
3.45,-34.869677419354836,-31.307481403225797,,
3.5,-34.69965517241379,-31.018838353448253,,
3.55,-34.91103448275862,-31.38759884482756,,
3.6,-35.04966666666667,-31.60171989166665,,
3.65,-34.688,-31.03310248333332,,
3.7,-34.65133333333333,-30.970937266666645,,
3.75,-34.96900000000001,-31.429045924999983,,
3.8,-34.83433333333333,-31.24426077499999,,
3.85,-34.84285714285714,-31.259570142857132,,
3.9,-34.88241379310344,-31.35047924999998,,
3.95,-34.73379310344828,-31.10274549999998,,
4.0,-34.62931034482759,-30.900729267241363,,
4.05,-34.572857142857146,-30.838109267857135,,
4.1,-34.79555555555556,-31.195072370370355,,
4.15,-34.95269230769231,-31.411065663461518,,
4.2,-34.82962962962963,-31.198586259259248,,
4.25,-34.88148148148149,-31.291854648148135,,
4.3,-34.93444444444444,-31.382129101851838,,
4.35,-34.73518518518518,-31.101453101851828,,0.065
4.4,-34.68769230769231,-31.058369596153828,,0.054
4.45,-34.864615384615384,-31.29479724999998,,0.043
4.5,-34.901785714285715,-31.3278356517857,,
4.55,-34.95962962962964,-31.424448342592584,,0.047
4.6,-34.9536,-31.442472799999983,,0.047
4.65,-34.85269230769231,-31.270953374999984,,
4.7,-35.12538461538462,-31.6884948653846,,0.062
4.75,-35.12076923076923,-31.68754949999999,,0.062
4.8,-34.89208333333334,-31.308701593749984,,
4.85,-34.857499999999995,-31.243153395833318,,
4.9,-34.85208333333333,-31.225733406249983,,
4.95,-34.7564,-31.116540489999984,,
5.0,-34.655,-30.97522620192306,,0.05
5.05,-34.687599999999996,-31.010020009999984,,0.05
5.1,-34.78038461538461,-31.157818586538447,,
5.15,-34.91,-31.35239726923076,,
