depth	min	max	median	mean
692	18857	19687	19310	19299
693	18875	19711	19326	19317
694	18887	19738	19343	19335
695	18901	19753	19363	19353
696	18918	19773	19380	19372
697	18934	19796	19398	19390
698	18949	19822	19415	19408
699	18959	19853	19432	19427
700	18990	19872	19458	19454
701	19006	19897	19486	19480
702	19029	19928	19511	19507
703	19054	19970	19537	19534
704	19065	20004	19563	19560
705	19108	20021	19597	19592
706	19135	20046	19630	19625
707	19153	20081	19667	19657
708	19179	20117	19699	19689
709	19209	20168	19731	19721
710	19247	20187	19765	19754
711	19278	20213	19801	19787
712	19316	20238	19835	19820
713	19336	20267	19868	19854
714	19372	20305	19900	19887
715	19416	20323	19931	19918
716	19449	20347	19964	19948
717	19476	20367	19999	19979
718	19500	20398	20031	20010
719	19520	20432	20064	20041
720	19570	20451	20099	20074
721	19613	20471	20131	20107
722	19644	20503	20161	20140
723	19677	20535	20196	20173
724	19702	20571	20228	20207
725	19749	20599	20262	20240
726	19806	20628	20295	20273
727	19852	20663	20328	20306
728	19884	20712	20358	20339
729	19914	20767	20387	20372
730	19942	20797	20419	20404
731	19974	20827	20452	20436
732	20002	20865	20480	20467
733	20019	20906	20512	20499
734	20035	20966	20539	20531
735	20079	20984	20574	20563
736	20111	21010	20610	20595
737	20138	21041	20645	20627
738	20172	21079	20676	20658
739	20189	21124	20707	20690
740	20228	21148	20741	20722
741	20253	21169	20775	20754
742	20279	21198	20807	20786
743	20305	21231	20838	20818
744	20329	21272	20870	20850
745	20376	21294	20901	20881
746	20412	21316	20932	20913
747	20441	21341	20964	20944
748	20469	21378	20994	20975
749	20510	21411	21025	21007
750	20526	21423	21043	21026
751	20542	21439	21061	21045
752	20563	21461	21082	21064
753	20585	21480	21098	21083
754	20592	21505	21119	21102
755	20613	21519	21137	21120
756	20636	21532	21153	21138
757	20659	21547	21171	21156
758	20681	21561	21192	21174
759	20688	21580	21208	21192
760	20717	21592	21228	21211
761	20745	21604	21247	21229
762	20768	21616	21266	21247
763	20787	21637	21284	21265
764	20803	21655	21302	21283
765	20831	21662	21319	21301
766	20850	21677	21337	21319
767	20867	21695	21355	21336
768	20880	21706	21374	21354
769	20896	21723	21391	21372
770	20917	21734	21412	21391
771	20936	21747	21431	21411
772	20962	21762	21451	21430
773	20986	21780	21473	21450
774	21005	21803	21491	21469
775	21031	21819	21506	21486
776	21051	21831	21522	21503
777	21073	21851	21539	21520
778	21095	21869	21555	21536
779	21110	21893	21570	21553
780	21126	21901	21586	21569
781	21140	21913	21601	21585
782	21154	21927	21619	21602
783	21177	21940	21636	21618
784	21185	21955	21652	21634
785	21207	21967	21669	21650
786	21224	21984	21686	21667
787	21234	21996	21703	21683
788	21252	22018	21721	21700
789	21262	22042	21736	21716
790	21278	22055	21754	21733
791	21306	22068	21771	21749
792	21321	22082	21789	21766
793	21334	22097	21807	21782
794	21346	22115	21822	21798
795	21374	22125	21840	21815
796	21399	22139	21857	21832
797	21414	22151	21873	21849
798	21432	22166	21888	21865
799	21444	22191	21904	21882
800	21472	22201	21921	21899
801	21494	22214	21940	21916
802	21516	22228	21957	21934
803	21533	22245	21973	21951
804	21551	22264	21989	21968
805	21569	22279	22009	21987
806	21589	22295	22029	22006
807	21609	22315	22048	22025
808	21629	22335	22065	22044
809	21646	22362	22082	22063
810	21665	22377	22101	22082
811	21690	22394	22120	22101
812	21704	22410	22139	22120
813	21720	22430	22158	22139
814	21730	22456	22177	22158
815	21751	22469	22198	22176
816	21771	22484	22217	22195
817	21793	22501	22235	22213
818	21814	22521	22254	22232
819	21829	22543	22274	22250
820	21848	22555	22292	22270
821	21874	22568	22313	22289
822	21895	22586	22332	22308
823	21918	22609	22351	22328
824	21940	22633	22369	22347
825	21959	22643	22386	22363
826	21978	22655	22403	22379
827	21994	22672	22419	22396
828	22001	22696	22435	22412
829	22015	22717	22451	22428
830	22027	22725	22466	22443
831	22037	22739	22482	22458
832	22059	22752	22497	22473
833	22068	22768	22512	22488
834	22080	22791	22527	22503
835	22099	22800	22542	22518
836	22116	22811	22556	22533
837	22133	22826	22571	22548
838	22147	22842	22586	22563
839	22160	22860	22600	22578
840	22185	22868	22615	22593
841	22197	22883	22630	22608
842	22210	22897	22645	22623
843	22228	22912	22660	22637
844	22242	22928	22674	22652
845	22254	22939	22690	22667
846	22274	22951	22706	22681
847	22286	22962	22721	22695
848	22304	22975	22737	22710
849	22318	22989	22751	22724
850	22333	23001	22766	22737
851	22344	23010	22778	22751
852	22358	23022	22790	22764
853	22370	23037	22806	22777
854	22381	23055	22818	22790
855	22394	23067	22829	22802
856	22407	23080	22841	22814
857	22421	23095	22852	22825
858	22430	23111	22862	22837
859	22435	23128	22874	22849
860	22449	23137	22885	22861
861	22459	23147	22896	22872
862	22470	23155	22908	22884
863	22475	23170	22919	22896
864	22484	23187	22930	22907
865	22497	23197	22943	22920
866	22520	23209	22956	22932
867	22529	23226	22968	22944
868	22545	23238	22980	22957
869	22558	23258	22991	22969
870	22566	23267	23005	22983
871	22579	23278	23020	22996
872	22597	23291	23034	23010
873	22608	23310	23046	23024
874	22622	23327	23059	23037
875	22632	23339	23073	23052
876	22646	23357	23088	23066
877	22657	23375	23103	23081
878	22667	23392	23117	23095
879	22676	23409	23130	23110
880	22696	23421	23146	23124
881	22708	23439	23161	23139
882	22726	23452	23176	23153
883	22736	23469	23191	23168
884	22747	23487	23205	23182
885	22763	23497	23218	23197
886	22776	23506	23233	23212
887	22786	23520	23247	23227
888	22801	23539	23261	23242
889	22810	23560	23275	23257
890	22831	23569	23290	23272
891	22846	23580	23307	23286
892	22859	23594	23323	23301
893	22877	23610	23338	23316
894	22892	23629	23352	23331
895	22914	23643	23367	23346
896	22923	23656	23384	23360
897	22933	23670	23399	23375
898	22943	23685	23415	23390
899	22961	23706	23428	23405
900	22972	23718	23444	23419
901	23003	23727	23457	23433
902	23019	23741	23474	23448
903	23026	23760	23487	23462
904	23039	23781	23502	23477
905	23048	23795	23516	23491
906	23065	23815	23529	23505
907	23077	23836	23543	23519
908	23093	23860	23558	23533
